input,output
typical steps in the job interview process,typical steps in the job interview process
how to match your cover letter and resume to the job posting,how to match your cover letter and resume to the job posting
"how to professionally engaged with the meeting, and how Canadian workplace","how to professionally engaged with the meeting, and how Canadian workplace"
get more details about KFC method for meeting clients one-on-one,get more details about KFC method for meeting clients one-on-one
Apply salary negotiation strategies,Apply salary negotiation strategies
more detailed about an ideal organizational culture which aligns to personal goals and values,more detailed about an ideal organizational culture which aligns to personal goals and values
I need to know more about the Canadian job market.,I need to know more about the Canadian job market.
It tells us what skills we need to acquire.,It tells us what skills we need to acquire.
Well done! I learned a lot.,Well done! I learned a lot.
"My LinkedIn summary is an essential part of my personal brand on the professional networking platform. It allows me to showcase my skills, experiences, and career highlights to potential employers and connections.","My LinkedIn summary is an essential part of my personal brand on the professional networking platform. It allows me to showcase my skills, experiences, and career highlights to potential employers and connections."
talk about the dress code,talk about the dress code
Recommendations on video interview,Recommendations on video interview
Identify best practices for informational interviews,Identify best practices for informational interviews
It's great,It's great
Apply networking skills to develop positive relationships with colleagues,Apply networking skills to develop positive relationships with colleagues
"Apply the Situation, Task, Action, and Response (STAR) method when practicing behavioural interview questions","Apply the Situation, Task, Action, and Response (STAR) method when practicing behavioural interview questions"
Identify common interview mistakes and how to avoid them,Identify common interview mistakes and how to avoid them
What to look for in an interview is clearly stated,What to look for in an interview is clearly stated
give us more real examples,give us more real examples
Reading body language and facial expressions is an intuitive skill.,Reading body language and facial expressions is an intuitive skill.
I think this module is really helpful,I think this module is really helpful
Describe an ideal organizational culture which aligns to personal goals and values,Describe an ideal organizational culture which aligns to personal goals and values
So helpful to improve your social media skills.,So helpful to improve your social media skills.
effective used of LinkedIn.,effective used of LinkedIn.
Uses of Social media apps,Uses of Social media apps
How to build personal branding using social media platforms.,How to build personal branding using social media platforms.
It's very good,It's very good
Develop an approach for requesting informational interviews,Develop an approach for requesting informational interviews
The stages of interview process,The stages of interview process
tips for video meeting,tips for video meeting
Managing expectations,Managing expectations
all of them are very useful,all of them are very useful
Interview with Sogol Jamali and the game part,Interview with Sogol Jamali and the game part
What we need to share on linkein,What we need to share on linkedin
"I particularly enjoy the Quiz section as it highlights my misconceptions, helping me reinforce and solidify my understanding.","I particularly enjoy the Quiz section as it highlights my misconceptions, helping me reinforce and solidify my understanding."
"Module 1 proves to be highly beneficial, significantly increasing my chances of securing a job successfully.","Module 1 proves to be highly beneficial, significantly increasing my chances of securing a job successfully."
"Module 1 is satisfactory, I believe no further enhancements are necessary.","Module 1 is satisfactory, I believe no further enhancements are necessary."
How social media can help me in career is very interesting.,How social media can help me in career is very interesting.
I think Module 2 is very informational and comprehensive enought.,I think Module 2 is very informative and comprehensive enough.
I think it is good enough.,I think it is good enough.
I am enlightened by the volunteer part. I never thought to volunteer but now I think I should research and try some.,I am enlightened by the volunteer part. I never thought to volunteer but now I think I should research and try some.
I think this module is good enough.,I think this module is good enough.
Interview Types and How To Apply STAR Techniques are my favorite 2 parts. They are pretty practical and useful.,Interview Types and How To Apply STAR Techniques are my favorite 2 parts. They are pretty practical and useful.
I gained a lot from it!,I gained a lot from it!
"“KFC”: know, feel, commit
because it seems interesting at the first sight, I remembered it just in 1 second.","“KFC”: know, feel, commit
because it seems interesting at the first sight, I remembered it just in 1 second."
I think it's good enough.,I think it's good enough.
Negotiating the salary because this is really crucial,Negotiating the salary because this is really crucial
more practice,more practice
More interactive components,More interactive components
everything looks good,everything looks good
discussion on what should we do if we found out that the organization culture does not fit to our personality,discussion on what should we do if we found out that the organization culture does not fit to our personality
I think more graph representation will be better,I think more graph representation will be better
I understand lot of knowledge to help me make improvement on my personal skills,I understand lot of knowledge to help me make improvement on my personal skills
Specific example for onsite interview,Specific example for onsite interview
Build your own brand in linkedin and facebook,Build your own brand in linkedin and facebook
Negotiation,Negotiation
The interviews in this course were insightful.,The interviews in this course were insightful.
Add more resources and organizations specific to Alberta.,Add more resources and organizations specific to Alberta.
The 2 videos showing what is a good vs bad interview introduction.,The 2 videos showing what is a good vs bad interview introduction.
Communication styles.,Communication styles.
"I think the module is well-balanced: Learning materials, videos, games","I think the module is well-balanced: Learning materials, videos, games"
Types of organizational culture.,Types of organizational culture.
Examples in sectors other than Tech.,Examples in sectors other than Tech.
"The session on volunteering and the fact that you add your volunteering activities to your CV and your volunteer supervisor can be your reference.
 the interview with Mavis what helpful,","The session on volunteering and the fact that you add your volunteering activities to your CV and your volunteer supervisor can be your reference.
the interview with Mavis what helpful,"
"The STAR module for answering the behavioral interview question. 
The video demonstration
The Interview with Bethany is helpful","The STAR module for answering the behavioral interview question. 
The video demonstration
The Interview with Bethany is helpful"
The picture box for helping Nasir with positive and negative communication habits  did not come up,The picture box for helping Nasir with positive and negative communication habits  did not come up
"How to get people engaged at meetings. ''Create voluntary engagement.""""","How to get people engaged at meetings. ''Create voluntary engagement."""""
Developing your personal and organizational goals. the insights received from the interview with Kathy.,Developing your personal and organizational goals. the insights received from the interview with Kathy.
the Game onboarding was not working. No questions appeared.,the Game onboarding was not working. No questions appeared.
Interview with Manu and the interesting hashtag part,Interview with Manu and the interesting hashtag part
Game: Appropriate questions to ask a mentor,Game: Appropriate questions to ask a mentor
Game: Canadian resume format &amp; Gauging the interviewer’s reactions,Game: Canadian resume format &amp; Gauging the interviewer’s reactions
Practice by quiz,Practice by quiz
Game: Onboarding,Game: Onboarding
More video tips,More video tips
Power pose,Power pose
more video lessons,more video lessons
mentoring,mentoring
communication STYLES,communication STYLES
Organizational structure,Organizational structure
The part about strength.,The part about strength.
Quite good already.,Quite good already.
Can include more comments about using LinkedIn,Can include more comments about using LinkedIn
The part of LinkedIn.,The part of LinkedIn.
I think this module is pretty helpful and intact.,I think this module is pretty helpful and intact.
The part of how can you identify people as mentor and how could they help you.,The part of how can you identify people as mentor and how could they help you.
More experience sharing would be more helpful.,More experience sharing would be more helpful.
Interview types really offered me a lot of helpful info.,Interview types really offered me a lot of helpful info.
"I think after studying this module, my interview skill get trained.","I think after studying this module, my interview skill get trained."
There could be more real cases of interview.,There could be more real cases of interview.
I like this module.,I like this module.
Materials about email communication indicate me a lot.,Materials about email communication indicate me a lot.
It will be great if more email framework are provided.,It will be great if more email framework are provided.
how to manage my schedule and expectations,how to manage my schedule and expectations
Méditation &amp; compétences transférables,Meditation & amp;Transferable skills
évaluer les parties à remplir en PDF mais en ligne,Evaluate the parties to be completed in PDF but online
c'est déjà très bien,it's already very good
2 coaching videos,2 coaching videos
It's pretty good but maybe keeping it concise while making the general introductions,It's pretty good but maybe keeping it concise while making the general introductions
The meditation and the extra resources thank you very much for providing them! :),The meditation and the extra resources thank you very much for providing them! :)
I would shorten the introduction and list more key factors related to the topic,I would shorten the introduction and list more key factors related to the topic
elevator pitch was my favorite piece of the module!,elevator pitch was my favorite piece of the module!
Vídeo material used in learning.,Vídeo material used in learning.
All good.,All good.
More questions in the quiz.,More questions in the quiz.
More quizzes to level up my comprehension of the module content.,More quizzes to level up my comprehension of the module content.
So far so good.,So far so good.
More quizzes to be added to improve the comprehension.,More quizzes to be added to improve the comprehension.
Those wonderfully-made videos.,Those wonderfully-made videos.
There isn’t any.,There isn’t any.
More supporting materials,More supporting materials
SO far soo good.,SO far soo good.
Nasir’s tour.,Nasir’s tour.
The small flash game helping understanding the way of negotiating the salary,The small flash game helping understanding the way of negotiating the salary
SO far so good,SO far so good
it can be shorten,it can be shorten
the explanation of personal branding,the explanation of personal branding
A more concise form of journaling,A more concise form of journaling
be more consice,be more concise
about using social media,about using social media
informational interview,informational interview
more concise,more concise
templates,templates
voicemail,voicemail
receiving an offer,receiving an offer
a little too long,a little too long
make the quiz easier,make the quiz easier
Overall pretty good,Overall pretty good
Make it shorter,Make it shorter
Be more brief on the mentor part,Be more brief on the mentor part
Informational Interview,Informational Interview
Please be more concise,Please be more concise
Give more practical tips,Give more practical tips
Be more concise,Be more concise
How to effective communicate mover email at the workspace,How to effective communicate mover email at the workspace
Very helpful,Very helpful
Salary negotiation tips,Salary negotiation tips
Great workshop,Great workshop
nice content,nice content
provide more examples of how to demonstrate the strengths in an interview,provide more examples of how to demonstrate the strengths in an interview
provide examples on LinkedIn profile,provide examples on LinkedIn profile
building relationship,building relationship
All part,All part
Some of the questions of evalutation part are not clear which leads to participant answering incorrectley.,Some of the questions of evaluation part are not clear which leads to participant answering incorrectly.
All parts were great and full of useful and practical information.,All parts were great and full of useful and practical information.
So practical and useful.,So practical and useful.
Mediation to identify your personal strengths,Mediation to identify your personal strengths
I liked all the topics it’s really helpful,I liked all the topics it’s really helpful
Well done,Well done
I like all the Module components,I like all the Module components
Well done 👍🏾,Well done 👍🏾
All is perfect,All is perfect
NON,NON
WELL DONE,WELL DONE
ALL IS GOOD,ALL IS GOOD
AL IS GOOD,AL IS GOOD
Drag examples to the correct strength. I think it's an enjoyable way to really understand the meaning.,Drag examples to the correct strength. I think it's an enjoyable way to really understand the meaning.
The relaxation audio is too long.,The relaxation audio is too long.
Examples of nice digital resumés.,Examples of nice digital resumés.
About not just LinkedIn being the social media to look.,About not just LinkedIn being the social media to look.
"All videos and stories are related to people who came with family already leaving here, their parents came as immigrants. What if you come alone, not knowing anyone, first of your home community... It's amazing how they succeeded with community support. You should show a story from someone who started alone and from a scratch.","All videos and stories are related to people who came with family already leaving here, their parents came as immigrants. What if you come alone, not knowing anyone, first of your home community... It's amazing how they succeeded with community support. You should show a story from someone who started alone and from a scratch."
How to become part of a community when you arrive knowing no-one.,How to become part of a community when you arrive knowing no-one.
How to ask for feedback.,How to ask for feedback.
Ways to address people in a formal manner.,Ways to address people in a formal manner.
How to ask about benefit package.,How to ask about benefit package.
More interactive materials other than just reading,More interactive materials other than just reading
Creating a digital portfolio,Creating a digital portfolio
More interactions,More interactions
Learned a lot.,Learned a lot.
HAVE KNOWN MORE ABOUT THE INTERVIEW STEPS NOW,HAVE KNOWN MORE ABOUT THE INTERVIEW STEPS NOW
"Different communication styles, that's new to me.","Different communication styles, that's new to me."
meeting skills,meeting skills
Different employment types in Canada,Different employment types in Canada
Guide to LinkedIn,Guide to LinkedIn
Strategies for building your community of support,Strategies for building your community of support
Give me more examples of how to build a personal brand,Give me more examples of how to build a personal brand
How to use Linkedin,How to use Linkedin
That it was folksy and intimate in its rhetoric,That it was folksy and intimate in its rhetoric
Being more concise,Being more concise
A real life example,A real life example
The part on connection,The part on connection
More concise,More concise
Organizational Structure,Organizational Structure
No idea,No idea
Meditation to identify your personal strengths,Meditation to identify your personal strengths
Highlight key points,Highlight key points
The one about adapability,The one about adaptability
More graphic interface,More graphic interface
I think it is too context-based which can be more vivid,I think it is too context-based which can be more vivid
Be more interactive,Be more interactive
explaining on what skills employers value the most.,explaining on what skills employers value the most.
Maybe more quizzes.,Maybe more quizzes.
guides on how to use social media to personal branding,guides on how to use social media to personal branding
more games!,more games!
"""how to find a mentor"" and ""how to communicate with a mentor""","""how to find a mentor"" and ""how to communicate with a mentor"""
I have no more suggestions.,I have no more suggestions.
no additional comments.,no additional comments.
The introductions on many skills that could be applied for phone screening and in-person interviews,The introductions on many skills that could be applied for phone screening and in-person interviews
"I have no idea, I think it is great!","I have no idea, I think it is great!"
introduction of communication styles,introduction of communication styles
i don't know,i don't know
the introduction of four different organizational cultures,the introduction of four different organizational cultures
Learning more possible ways of building connections and meeting new people,Learning more possible ways of building connections and meeting new people
The lessons about how to fit in a new company in Canada.,The lessons about how to fit in a new company in Canada.
the e-game,the e-game
be more systemtic,be more systematic
00. Pre-program consent and survey,00. Pre-program consent and survey
ASCEND pre-program survey,ASCEND pre-program survey
Pre-program survey: Soft skills self-assessment,Pre-program survey: Soft skills self-assessment
"I am able to identify new professional networking opportunities
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am able to identify new professional networking opportunities
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I am able to negotiate a job salary
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am able to negotiate a job salary
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I am comfortable searching for potential jobs in Canada using LinkedIn
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am comfortable searching for potential jobs in Canada using LinkedIn
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I am confident in my ability to use effective communication skills at work
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am confident in my ability to use effective communication skills at work
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I am confident in my interview skills
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am confident in my interview skills
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I am knowledgeable about Canadian organizational cultures
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I am knowledgeable about Canadian organizational cultures
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I believe I HAVE the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I believe I HAVE the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I believe I UNDERSTAND the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I believe I UNDERSTAND the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I feel well-prepared to work in Canada in a position that meets my expectations
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I feel well-prepared to work in Canada in a position that meets my expectations
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
"I know my professional development and career goals
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)","I know my professional development and career goals
(5 = Strongly agree, 3 = Neutral,  1 = Strongly disagree)"
Your Certificate of Completion,Your Certificate of Completion
ASCEND Post-Program Survey,ASCEND Post-Program Survey
Post-program survey: Part 1 - Program satisfaction,Post-program survey: Part 1 - Program satisfaction
"Overall, how satisfied were you with the ASCEND program’s ONLINE MODULES?","Overall, how satisfied were you with the ASCEND program’s ONLINE MODULES?"
Very Satisfied,Very Satisfied
"Overall, how satisfied were you with the ASCEND program’s WORKSHOPS? (For ASCEND blended version participants)","Overall, how satisfied were you with the ASCEND program’s WORKSHOPS? (For ASCEND blended version participants)"
Satisfied,Satisfied
Please share any specific suggestions to improve ASCEND,Please share any specific suggestions to improve ASCEND
It would be great if you provide more audio and video clips.,It would be great if you provide more audio and video clips.
Please share what you specifically liked the most about ASCEND,Please share what you specifically liked the most about ASCEND
I am satisfied with extra information with links on each section. So I can get more idea and useful information for the future.,I am satisfied with extra information with links on each section. So I can get more idea and useful information for the future.
"Testimonial Comment
If you enjoyed the ASCEND program, please provide a summary comment we could use to promote the program. If we can use your first name to accompany your comment, please also enter ‘Y’ after the comment.","Testimonial Comment
If you enjoyed the ASCEND program, please provide a summary comment we could use to promote the program. If we can use your first name to accompany your comment, please also enter ‘Y’ after the comment."
"I am glad to complete this course online. I believe taking this intense course is beneficial to get to know more about new culture, Canada, so I probably am able to avoid misunderstandings and mistakes while preparing my resumes and interviews for a job. 
Y","I am glad to complete this course online. I believe taking this intense course is beneficial to get to know more about new culture, Canada, so I probably am able to avoid misunderstandings and mistakes while preparing my resumes and interviews for a job. 
Y"
What type of device did you use most often to access the ASCEND program?,What type of device did you use most often to access the ASCEND program?
Apple tablet,Apple tablet
Would you recommend the ASCEND program to other immigrants?,Would you recommend the ASCEND program to other immigrants?
Post-program survey: Part 2 - Soft skills self-assessment,Post-program survey: Part 2 - Soft skills self-assessment
"I am able to identify new professional networking opportunities
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am able to identify new professional networking opportunities
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I am able to negotiate a job salary
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am able to negotiate a job salary
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I am comfortable searching for potential jobs in Canada using LinkedIn
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am comfortable searching for potential jobs in Canada using LinkedIn
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I am confident in my ability to use effective communication skills at work
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am confident in my ability to use effective communication skills at work
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I am confident in my interview skills
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am confident in my interview skills
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I am knowledgeable about Canadian organizational cultures
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I am knowledgeable about Canadian organizational cultures
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I believe I HAVE the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I believe I HAVE the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I believe I UNDERSTAND the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I believe I UNDERSTAND the soft skills that Canadian employers are looking for
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I feel well-prepared to work in Canada in a position that meets my expectations
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I feel well-prepared to work in Canada in a position that meets my expectations
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"I know my professional development and career goals
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)","I know my professional development and career goals
(5 = Strongly agree, 3 = Neutral, 1 = Strongly disagree)"
"Would you be interested in sharing your experience with the ASCEND program as an ""ASCEND Ambassador""? If yes, we may contact you in the future to join us at an ASCEND webinar or information session to share your experience with the program.","Would you be interested in sharing your experience with the ASCEND program as an ""ASCEND Ambassador""? If yes, we may contact you in the future to join us at an ASCEND webinar or information session to share your experience with the program."
Workshop 6 Evaluation,Workshop 6 Evaluation
Evaluation for Workshop 6: Career progression,Evaluation for Workshop 6: Career progression
Have you attended Workshop 6: Career progression?,Have you attended Workshop 6: Career progression?
How satisfied were you with Workshop 6: Career progression?,How satisfied were you with Workshop 6: Career progression?
"Please share any additional comments on Workshop 6: Career progression
(Enter NA if you did not attend Workshop 6)","Please share any additional comments on Workshop 6: Career progression
(Enter NA if you did not attend Workshop 6)"
"What was your favourite part of Workshop 6: Career progression? 
(Enter NA if you did not attend Workshop 6)","What was your favourite part of Workshop 6: Career progression? 
(Enter NA if you did not attend Workshop 6)"
about managing lime and expectations,about managing lime and expectations
"What would improve Workshop 6: Career progression? 
(Enter NA if you did not attend the Workshop 6)","What would improve Workshop 6: Career progression? 
(Enter NA if you did not attend the Workshop 6)"
Structuring quizzes in a game animated way to be more engaging with audio support.,Structuring quizzes in a game animated way to be more engaging with audio support.
"How things are outlined and detailed, comprehensive information that guides my afterwards careers in Canada and access to modules even after completion.","How things are outlined and detailed, comprehensive information that guides my afterwards careers in Canada and access to modules even after completion."
"A.I. ""The ASCEND program provided me with key workplace skills that ensure successful personal and career future in Canada, boosted my confidence in my ability to never stop dreaming"" 'Y'","A.I. ""The ASCEND program provided me with key workplace skills that ensure successful personal and career future in Canada, boosted my confidence in my ability to never stop dreaming"" 'Y'"
PC Desktop,PC Desktop
I did not attend the ASCEND workshops,I did not attend the ASCEND workshops
I think all modules were preparing properly,I think all modules were preparing properly
Onboarding and organizational culture is very helpful,Onboarding and organizational culture is very helpful
"I really enjoyed the ASCEND program. I learned lot of new things. It's improved my skills, professional communications and developed my professional community of support. 
'Y'","I really enjoyed the ASCEND program. I learned lot of new things. It's improved my skills, professional communications and developed my professional community of support. 
'Y'"
Android or PC laptop,Android or PC laptop
Workshop 1 Evaluation,Workshop 1 Evaluation
Evaluation for Workshop 1: The The value of your existing skills and experience,Evaluation for Workshop 1: The The value of your existing skills and experience
Have you attended Workshop 1: The value of your existing skills and experience?,Have you attended Workshop 1: The value of your existing skills and experience?
How satisfied were you with Workshop 1: The value of your existing skills and experience?,How satisfied were you with Workshop 1: The value of your existing skills and experience?
Very satisfied,Very satisfied
Please share any additional comments on Workshop 1: The value of your existing skills and experience (Enter NA if you did not attend Workshop 1),Please share any additional comments on Workshop 1: The value of your existing skills and experience (Enter NA if you did not attend Workshop 1)
Enlightening,Enlightening
What was your favourite part of Workshop 1: The value of your existing skills and experience? (Enter NA if you did not attend Workshop 1),What was your favourite part of Workshop 1: The value of your existing skills and experience? (Enter NA if you did not attend Workshop 1)
SOFT SKILLS,SOFT SKILLS
What would improve Workshop 1: The value of your existing skills and experience? (Enter NA if you did not attend the Workshop 1),What would improve Workshop 1: The value of your existing skills and experience? (Enter NA if you did not attend the Workshop 1)
Workshop 2 Evaluation,Workshop 2 Evaluation
Evaluation for Workshop 2: Personal branding,Evaluation for Workshop 2: Personal branding
Have you attended Workshop 2: Personal branding?,Have you attended Workshop 2: Personal branding?
How satisfied were you with Workshop 2: Personal branding?,How satisfied were you with Workshop 2: Personal branding?
Please share any additional comments on Workshop 2: Personal branding (Enter NA if you did not attend Workshop 2),Please share any additional comments on Workshop 2: Personal branding (Enter NA if you did not attend Workshop 2)
What was your favourite part of Workshop 2: Personal branding? (Enter NA if you did not attend Workshop 2),What was your favourite part of Workshop 2: Personal branding? (Enter NA if you did not attend Workshop 2)
What would improve Workshop 2: Personal branding? (Enter NA if you did not attend the Workshop 2),What would improve Workshop 2: Personal branding? (Enter NA if you did not attend the Workshop 2)
Workshop 3 Evaluation,Workshop 3 Evaluation
Evaluation for Workshop 3: Developing your professional community of support,Evaluation for Workshop 3: Developing your professional community of support
Have you attended Workshop 3: Developing your professional community of support?,Have you attended Workshop 3: Developing your professional community of support?
How satisfied were you with Workshop 3: Developing your professional community of support?,How satisfied were you with Workshop 3: Developing your professional community of support?
"Please share any additional comments on Workshop 3: Developing your professional community of support
(Enter NA if you did not attend Workshop 3)","Please share any additional comments on Workshop 3: Developing your professional community of support
(Enter NA if you did not attend Workshop 3)"
"What was your favourite part of Workshop 3: Developing your professional community of support? 
(Enter NA if you did not attend Workshop 3)","What was your favourite part of Workshop 3: Developing your professional community of support? 
(Enter NA if you did not attend Workshop 3)"
"What would improve Workshop 3: Developing your professional community of support? 
(Enter NA if you did not attend the Workshop 3)","What would improve Workshop 3: Developing your professional community of support? 
(Enter NA if you did not attend the Workshop 3)"
Workshop 4 Evaluation,Workshop 4 Evaluation
Evaluation for Workshop 4: Building your job search and interview soft skills,Evaluation for Workshop 4: Building your job search and interview soft skills
Have you attended Workshop 4: Building your job search and interview soft skills?,Have you attended Workshop 4: Building your job search and interview soft skills?
How satisfied were you with Workshop 4: Building your job search and interview soft skills?,How satisfied were you with Workshop 4: Building your job search and interview soft skills?
"Please share any additional comments on Workshop 4: Building your job search and interview soft skills
(Enter NA if you did not attend Workshop 4)","Please share any additional comments on Workshop 4: Building your job search and interview soft skills
(Enter NA if you did not attend Workshop 4)"
"What was your favourite part of Workshop 4: Building your job search and interview soft skills? 
(Enter NA if you did not attend Workshop 4)","What was your favourite part of Workshop 4: Building your job search and interview soft skills? 
(Enter NA if you did not attend Workshop 4)"
"What would improve Workshop 4: Building your job search and interview soft skills? 
(Enter NA if you did not attend the Workshop 4)","What would improve Workshop 4: Building your job search and interview soft skills? 
(Enter NA if you did not attend the Workshop 4)"
Workshop 5 Evaluation,Workshop 5 Evaluation
"Evaluation for Workshop 5: Professional communication, onboarding, and organizational culture","Evaluation for Workshop 5: Professional communication, onboarding, and organizational culture"
"Have you attended Workshop 5: Professional communication, onboarding and organizational culture?","Have you attended Workshop 5: Professional communication, onboarding and organizational culture?"
"How satisfied were you with Workshop 5: Professional communication, onboarding and organizational culture?","How satisfied were you with Workshop 5: Professional communication, onboarding and organizational culture?"
"Please share any additional comments on Workshop 5: Professional communication, onboarding and organizational culture
(Enter NA if you did not attend Workshop 5)","Please share any additional comments on Workshop 5: Professional communication, onboarding and organizational culture
(Enter NA if you did not attend Workshop 5)"
"What was your favourite part of Workshop 5: Professional communication, onboarding and organizational culture?","What was your favourite part of Workshop 5: Professional communication, onboarding and organizational culture?"
"What would improve Workshop 5: Professional communication, onboarding and organizational culture? 
(Enter NA if you did not attend the Workshop 5)","What would improve Workshop 5: Professional communication, onboarding and organizational culture? 
(Enter NA if you did not attend the Workshop 5)"
Neutral,Neutral
mobile version should be deployed,mobile version should be deployed
skill acquisition and exposure,skill acquisition and exposure
"ASCEND program has exposed me to understand and integrate more into canadian work place culture
Y","ASCEND program has exposed me to understand and integrate more into canadian work place culture
Y"
good easily understand everything.,good easily understand everything.
Resume preparation and interview skills,Resume preparation and interview skills
As for the newcomers no need improvement according to me just perfect.,As for the newcomers no need improvement according to me just perfect.
how to connect with social media and upgrade the best profile in linked in,how to connect with social media and upgrade the best profile in linkedin
i dont think it improve more because this was as easy as to understand,i dont think it improve more because this was as easy as to understand
Very dissatisfied,Very dissatisfied
it's really amazing and very easy to  understand thanks for your awesome module.,it's really amazing and very easy to  understand thanks for your awesome module.
mentorship and professional community development,mentorship and professional community development
it was easy to understand thanks for your effort,it was easy to understand thanks for your effort
Dissatisfied,Dissatisfied
thanks for such a wonderful module it helps me to improve my skills more than i think.,thanks for such a wonderful module it helps me to improve my skills more than i think.
STAR method and interview preparation,STAR method and interview preparation
improve my resume preparation and how to with deal basic interview skills,improve my resume preparation and how to with deal basic interview skills
thanks for the perfect module to understand professional communication and on boarding and organizational culture.,thanks for the perfect module to understand professional communication and on boarding and organizational culture.
STAR method and KFC method,STAR method and KFC method
easy to learn and understand,easy to learn and understand
thanks for the wonderful module,thanks for the wonderful module
"the details was so clear and catch able to understand them easily. i liked all parts ,","the details was so clear and catch able to understand them easily. i liked all parts ,"
"it was so helpful for me because I understand about canada cultures and jobs environment to be ready for the job . 
 also the information was so catch able and easy to understand that helped me to improve my knowledge and work skills .","it was so helpful for me because I understand about canada cultures and jobs environment to be ready for the job . 
also the information was so catch able and easy to understand that helped me to improve my knowledge and work skills ."
Apple laptop,Apple laptop
Job search could be elaborated more by enlightening on keywords,Job search could be elaborated more by enlightening on keywords
PEER INTERVIEW ROLE PLAY,PEER INTERVIEW ROLE PLAY
Collabprating with people from same professional background,Collaborating with people from same professional background
I did not attend Workshop 5,I did not attend Workshop 5
I did not attend Workshop 6,I did not attend Workshop 6
"The time of virtual workshops should be shorter (It might be too long for some), 2.5 hours continuously is challenging sometimes.","The time of virtual workshops should be shorter (It might be too long for some), 2.5 hours continuously is challenging sometimes."
The flexibility and being able to do it virtually with the blended form. The content and user-friendly. prompts for questions to learn effectively.,The flexibility and being able to do it virtually with the blended form. The content and user-friendly. prompts for questions to learn effectively.
"ASCEND provides an effective platform to brush up your skills to accomplish your goal as a newcomer in Canada. ASCEND made it easy for me to learn about Canadian work culture and expectations of the employers through a blended version of training online and workshops.
Y","ASCEND provides an effective platform to brush up your skills to accomplish your goal as a newcomer in Canada. ASCEND made it easy for me to learn about Canadian work culture and expectations of the employers through a blended version of training online and workshops.
Y"
".,",".,"
Easy to understand,Easy to understand
Y,Y
Apple phone,Apple phone
Strength,Strength
It’s very good enough,It’s very good enough
Part 2,Part 2
5 8,5 8
"2,3","2,3"
Very useful and too many information,Very useful and too many information
the workshop was at a high level and enlighten me for future interview preparation.,the workshop was at a high level and enlighten me for future interview preparation.
Learning what works and what doesn't when you get questioned about introducing yourself in an interview.,Learning what works and what doesn't when you get questioned about introducing yourself in an interview.
How to tailor your skill according different job when giving your response about your background.,How to tailor your skill according different job when giving your response about your background.
meeting in person,meeting in person
Details,Details
feedbacks,feedbacks
details,details
